Scode,itercount,acc_test,val,margin,period

WTI,0,0.2900302,[0],4,1
WTI,1,0.30060422,[0],4,1
WTI,2,0.2960725,[0],4,1
WTI,3,0.29758307,[0],4,1
WTI,4,0.2854985,[0],4,1
CVI,0,0.34666666,[0],4,1
CVI,1,0.34666666,[0],4,1
CVI,2,0.3447619,[0],4,1
CVI,3,0.3447619,[0],4,1
CVI,4,0.3504762,[0],4,1
HIL,0,0.34179357,[0],4,1
HIL,1,0.34348562,[0],4,1
HIL,2,0.3282572,[0],4,1
HIL,3,0.33671743,[0],4,1
HIL,4,0.31641287,[0],4,1
REN,0,0.3901869,[0],4,1
REN,1,0.37616822,[0],4,1
REN,2,0.37383178,[0],4,1
REN,3,0.39485982,[0],4,1
REN,4,0.36448598,[0],4,1
CLF,0,0.29860228,[0],4,1
CLF,1,0.28335452,[0],4,1
CLF,2,0.29860228,[0],4,1
CLF,3,0.27446,[0],4,1
CLF,4,0.28970775,[0],4,1
EDN,0,0.34181818,[0],4,1
EDN,1,0.3581818,[0],4,1
EDN,2,0.34,[0],4,1
EDN,3,0.35272726,[0],4,1
EDN,4,0.34181818,[0],4,1
LL,0,0.38314176,[0],4,1
LL,1,0.40229884,[0],4,1
LL,2,0.40421456,[0],4,1
LL,3,0.40038314,[0],4,1
LL,4,0.3888889,[0],4,1
UAL,0,0.3420622,[0],4,1
UAL,1,0.3371522,[0],4,1
UAL,2,0.33224222,[0],4,1
UAL,3,0.33060557,[0],4,1
UAL,4,0.32569557,[0],4,1
CRK,0,0.3036849,[0],4,1
CRK,1,0.32401526,[0],4,1
CRK,2,0.29987293,[0],4,1
CRK,3,0.31130877,[0],4,1
CRK,4,0.30749682,[0],4,1
ORN,0,0.3539652,[0],4,1
ORN,1,0.35976788,[0],4,1
ORN,2,0.35203093,[0],4,1
ORN,3,0.3539652,[0],4,1
ORN,4,0.36943907,[0],4,1
BPI,0,0.38137472,[0],4,1
BPI,1,0.37915742,[0],4,1
BPI,2,0.36141908,[0],4,1
BPI,3,0.37915742,[0],4,1
BPI,4,0.3858093,[0],4,1
CLR,0,0.36197442,[0],4,1
CLR,1,0.3510055,[0],4,1
CLR,2,0.3583181,[0],4,1
CLR,3,0.36014625,[0],4,1
CLR,4,0.34734917,[0],4,1
HPR,0,0.31240657,[0],4,1
HPR,1,0.31988043,[0],4,1
HPR,2,0.32286996,[0],4,1
